R1_BAT,4.15,110.47,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,88.93,55.23,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,53.44,36.39,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,47.81,15.84,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.38,71.08,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,140.43,60.14,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,151.87,62.44,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,119.16,40.90,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,148.15,14.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,110.82,64.88,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,44.89,17.96,179.60,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,126.07,67.69,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,50.29,23.07,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,95.10,69.22,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,8.32,110.58,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,55.32,36.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.10,118.70,180.00,BUTTON_CUSYOMV1,MYBUTTON
RI_PINH,150.26,14.93,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_BOOT,61.63,118.53,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,95.23,60.90,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,46.33,118.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,61.82,34.13,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,21.03,118.43,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,151.01,20.21,0.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,44.27,15.34,0.00,,SJ
TP1,51.93,80.78,0.00,TPTP20R,TP20R
TP10,5.09,43.40,0.00,TPTP20R,TP20R
TP11,5.20,47.70,0.00,TPTP20R,TP20R
TP12,38.76,80.84,0.00,TPTP20R,TP20R
TP13,44.89,80.84,0.00,TPTP20R,TP20R
TP14,148.51,42.03,0.00,TPTP20R,TP20R
TP15,4.79,39.26,0.00,TPTP20R,TP20R
TP16,28.41,109.26,0.00,TPTP20R,TP20R
TP17,4.90,31.02,0.00,TPTP20R,TP20R
TP2,13.79,80.94,0.00,TPTP20R,TP20R
TP3,137.25,72.61,0.00,TPTP20R,TP20R
TP4,27.97,105.77,0.00,TPTP20R,TP20R
TP5,33.33,107.70,0.00,TPTP20R,TP20R
TP6,33.62,80.84,0.00,TPTP20R,TP20R
TP7,53.95,61.38,0.00,TPTP20R,TP20R
TP8,5.03,35.18,0.00,TPTP20R,TP20R
TP9,9.66,80.96,0.00,TPTP20R,TP20R
U1,39.37,63.50,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.70,62.23,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.09,63.50,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.41,64.67,0.00,MAX17048G+T10,SON50P200X200X80-9N
